역사명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,이산화질소,라돈,휘발성유기화합물,석면,오존
기준,150㎍/㎥이하,"1,000ppm이하",100㎍/㎥이하,10ppm이하,0.05ppm이하,148Bq/㎥이하,500㎍/㎥이하,0.01개/㏄이하,0.06ppm이하
평균,55.0,466,1.8,0.5,0.023,23.9,220.7,0.01개미만,0.038
판암,59.1,453,0,0.6,,,,,
신흥,71,419,0.7,0.6,,,,,
대동,83.4,435,1.7,0.5,,,,,
대전,97.3,442,2.2,0.5,,,,,
중앙로,51.9,471,1.4,0.5,,,,,
중구청,63.9,467,1.5,0.5,,,,,
서대전네거리,121.3,440,0.4,0.5,,,,,
오룡,73.2,509,0.9,0.5,,,,,
용문,48.9,438,1.7,0.5,,,,,
탄방,63.7,470,2.8,0.5,,,,,
시청,36.6,474,2.1,0.5,,,,,
정부청사,50.1,436,2.3,0.5,,,,,
갈마,43.9,548,1.5,0.4,0.02,20,294,0.01개미만,0.041
월평,34,496,2.6,0.4,0.038,22.6,123.6,0.01개미만,0.037
갑천,38.3,455,2.2,0.5,0.028,20,195.7,0.01개미만,0.042
유성온천,30.5,451,1.8,0.4,0.03,10.8,195.4,0.01개미만,0.036
구암,36,510,1.5,0.4,0.028,14.7,264.3,0.01개미만,0.036
현충원,41.1,453,2,0.5,0.024,65.5,268.3,0.01개미만,0.038
월드컵경기장,41.5,467,2.4,0.5,0.017,17.4,64.3,0.01개미만,0.036
노은,46.4,458,2.4,0.5,0.018,16.1,125.7,0.01개미만,0.039
지족,33.4,499,3.2,0.5,0.018,18.7,332.1,0.01개미만,0.041
반석,44.9,464,2.6,0.5,0.016,33.3,343.8,0.01개미만,0.039
