역사명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,이산화질소,라돈,휘발성유기화합물,석면,오존
기준,150㎍/㎥이하,"1,000ppm이하",100㎍/㎥이하,10ppm이하,0.05ppm이하,148Bq/㎥이하,500㎍/㎥이하,0.01개/㏄이하,0.06ppm이하
평균,56.2,496,4.7,0.8,0.028,24.7,90.5,0.0009,0.01
판암,53.6,517,2.9,0.8,,,,,
신흥,45,447,3.5,0.6,,,,,
대동,69.4,480,2.7,0.6,,,,,
대전,72.7,516,2.4,0.8,,,,,
중앙로,65.3,524,3.7,1.2,,,,,
중구청,64.5,511,6.3,0.8,,,,,
서대전네거리,53.2,509,4.2,0.7,,,,,
오룡,58.8,595,3,0.8,,,,,
용문,53.7,504,4.8,0.9,,,,,
탄방,65.9,532,3.9,1,,,,,
시청,57.9,502,3.6,1,,,,,
정부청사,68.2,501,5,1,,,,,
갈마,45.1,474,3.6,0.4,0.035,23,79.8,0.001,0.01
월평,49.5,503,4.6,1.1,0.034,12,91.4,0.0012,0.018
갑천,64.2,463,5.5,0.2,0.029,18,92.5,0.0014,0.005
유성온천,58.4,531,8.6,1.3,0.031,26,103.1,0.0012,0.003
구암,43.7,462,6.1,0.4,0.031,31,97.5,0.0006,0.005
현충원,41.8,455,5.2,0.8,0.029,37,97.2,0.0004,0.01
월드컵경기장,44.1,460,6.3,0.6,0.029,18,90.6,0.001,0.014
노은,42.7,477,6.1,1,0.026,24,81.2,0.001,0.003
지족,44.7,431,5.2,0.5,0.014,33,80.3,0.0006,0.019
반석,74.7,520,6.5,0.7,0.028,34,92,0.0004,0.014
